u_star,x2
3.724536767450781216e-01,3.660000000000000000e+02
3.731983235356512996e-01,3.670000000000000000e+02
3.739452073743754767e-01,3.680000000000000000e+02
3.746943372389670568e-01,3.690000000000000000e+02
3.754457221522668475e-01,3.700000000000000000e+02
3.761993711825135644e-01,3.710000000000000000e+02
3.769552934436179448e-01,3.720000000000000000e+02
3.777134980954399701e-01,3.730000000000000000e+02
3.784739943440658116e-01,3.740000000000000000e+02
3.792367914420908259e-01,3.750000000000000000e+02
3.800018986888993311e-01,3.760000000000000000e+02
3.807693254309514885e-01,3.770000000000000000e+02
3.815390810620675199e-01,3.780000000000000000e+02
3.823111750237186968e-01,3.790000000000000000e+02
3.830856168053152766e-01,3.800000000000000000e+02
3.838624159445016004e-01,3.810000000000000000e+02
3.846415820274487474e-01,3.820000000000000000e+02
3.854231246891539064e-01,3.830000000000000000e+02
3.862070536137359178e-01,3.840000000000000000e+02
3.869933785347400290e-01,3.850000000000000000e+02
3.877821092354382104e-01,3.860000000000000000e+02
3.885732555491366313e-01,3.870000000000000000e+02
3.893668273594819706e-01,3.880000000000000000e+02
3.901628346007721682e-01,3.890000000000000000e+02
3.909612872582679532e-01,3.900000000000000000e+02
3.917621953685076486e-01,3.910000000000000000e+02
3.925655690196230285e-01,3.920000000000000000e+02
3.933714183516586749e-01,3.930000000000000000e+02
3.941797535568935529e-01,3.940000000000000000e+02
3.949905848801635311e-01,3.950000000000000000e+02
3.958039226191880644e-01,3.960000000000000000e+02
3.966197771248978210e-01,3.970000000000000000e+02
3.974381588017659173e-01,3.980000000000000000e+02
3.982590781081403186e-01,3.990000000000000000e+02
3.967738412310277130e-01,4.000000000000000000e+02
